date,metric,broker,value,vintage
2022-01-01,dau,Avanza,255893,2026-09-01
2022-01-01,dau,IBKR,317,2026-09-01
2022-01-01,dau,Nordnet,17003,2026-09-01
2022-01-01,dau,Revolut,27600,2026-09-01
2022-01-01,dau,Trade Republic,805,2026-09-01
2022-01-02,dau,Avanza,259500,2026-09-01
2022-01-02,dau,IBKR,348,2026-09-01
2022-01-02,dau,Nordnet,11038,2026-09-01
2022-01-02,dau,Revolut,28905,2026-09-01
2022-01-02,dau,Trade Republic,1545,2026-09-01
2022-01-03,dau,Avanza,450343,2026-09-01
2022-01-03,dau,IBKR,377,2026-09-01
2022-01-03,dau,Nordnet,34736,2026-09-01
2022-01-03,dau,Revolut,29559,2026-09-01
2022-01-03,dau,Trade Republic,1550,2026-09-01
2022-01-04,dau,Avanza,460861,2026-09-01
2022-01-04,dau,IBKR,174,2026-09-01
2022-01-04,dau,Nordnet,38281,2026-09-01
2022-01-04,dau,Revolut,32965,2026-09-01
2022-01-04,dau,Trade Republic,1558,2026-09-01
2022-01-05,dau,Avanza,440788,2026-09-01
2022-01-05,dau,IBKR,380,2026-09-01
2022-01-05,dau,Nordnet,31971,2026-09-01
2022-01-05,dau,Revolut,32560,2026-09-01
2022-01-05,dau,Trade Republic,814,2026-09-01
2022-01-06,dau,Avanza,346080,2026-09-01
2022-01-06,dau,IBKR,408,2026-09-01
2022-01-06,dau,Nordnet,26180,2026-09-01
2022-01-06,dau,Revolut,31239,2026-09-01
2022-01-06,dau,Trade Republic,1566,2026-09-01
2022-01-07,dau,Avanza,464842,2026-09-01
2022-01-07,dau,IBKR,359,2026-09-01
2022-01-07,dau,Nordnet,29372,2026-09-01
2022-01-07,dau,Revolut,30758,2026-09-01
2022-01-07,dau,Trade Republic,1573,2026-09-01
2022-01-08,dau,Avanza,281229,2026-09-01
2022-01-08,dau,IBKR,329,2026-09-01
2022-01-08,dau,Nordnet,20738,2026-09-01
2022-01-08,dau,Revolut,31301,2026-09-01
2022-01-08,dau,Trade Republic,821,2026-09-01
2022-01-09,dau,Avanza,224458,2026-09-01
2022-01-09,dau,IBKR,329,2026-09-01
2022-01-09,dau,Nordnet,11275,2026-09-01
2022-01-09,dau,Revolut,30200,2026-09-01
2022-01-09,dau,Trade Republic,1582,2026-09-01
2022-01-10,dau,Avanza,462793,2026-09-01
2022-01-10,dau,IBKR,383,2026-09-01
2022-01-10,dau,Nordnet,31121,2026-09-01
2022-01-10,dau,Revolut,30785,2026-09-01
2022-01-10,dau,Trade Republic,1590,2026-09-01
2022-01-11,dau,Avanza,473752,2026-09-01
2022-01-11,dau,IBKR,153,2026-09-01
2022-01-11,dau,Nordnet,40045,2026-09-01
2022-01-11,dau,Revolut,31041,2026-09-01
2022-01-11,dau,Trade Republic,1599,2026-09-01
2022-01-12,dau,Avanza,430838,2026-09-01
2022-01-12,dau,IBKR,177,2026-09-01
2022-01-12,dau,Nordnet,30051,2026-09-01
2022-01-12,dau,Revolut,32412,2026-09-01
2022-01-12,dau,Trade Republic,1604,2026-09-01
2022-01-13,dau,Avanza,435814,2026-09-01
2022-01-13,dau,IBKR,400,2026-09-01
2022-01-13,dau,Nordnet,29176,2026-09-01
2022-01-13,dau,Revolut,30785,2026-09-01
2022-01-13,dau,Trade Republic,1610,2026-09-01
2022-01-14,dau,Avanza,435293,2026-09-01
2022-01-14,dau,IBKR,362,2026-09-01
2022-01-14,dau,Nordnet,30489,2026-09-01
2022-01-14,dau,Revolut,28671,2026-09-01
2022-01-14,dau,Trade Republic,1615,2026-09-01
2022-01-15,dau,Avanza,253083,2026-09-01
2022-01-15,dau,IBKR,145,2026-09-01
2022-01-15,dau,Nordnet,12434,2026-09-01
2022-01-15,dau,Revolut,30418,2026-09-01
2022-01-15,dau,Trade Republic,835,2026-09-01
2022-01-16,dau,Avanza,210525,2026-09-01
2022-01-16,dau,IBKR,331,2026-09-01
2022-01-16,dau,Nordnet,12213,2026-09-01
2022-01-16,dau,Revolut,30716,2026-09-01
2022-01-16,dau,Trade Republic,836,2026-09-01
2022-01-17,dau,Avanza,427372,2026-09-01
2022-01-17,dau,IBKR,341,2026-09-01
2022-01-17,dau,Nordnet,30002,2026-09-01
2022-01-17,dau,Revolut,29687,2026-09-01
2022-01-17,dau,Trade Republic,1619,2026-09-01
2022-01-18,dau,Avanza,468640,2026-09-01
2022-01-18,dau,IBKR,341,2026-09-01
2022-01-18,dau,Nordnet,33862,2026-09-01
2022-01-18,dau,Revolut,31516,2026-09-01
2022-01-18,dau,Trade Republic,838,2026-09-01
2022-01-19,dau,Avanza,423719,2026-09-01
2022-01-19,dau,IBKR,167,2026-09-01
2022-01-19,dau,Nordnet,34750,2026-09-01
2022-01-19,dau,Revolut,33087,2026-09-01
2022-01-19,dau,Trade Republic,840,2026-09-01
2022-01-20,dau,Avanza,430785,2026-09-01
2022-01-20,dau,IBKR,191,2026-09-01
2022-01-20,dau,Nordnet,30147,2026-09-01
2022-01-20,dau,Revolut,31267,2026-09-01
2022-01-20,dau,Trade Republic,840,2026-09-01
2022-01-21,dau,Avanza,459657,2026-09-01
2022-01-21,dau,IBKR,372,2026-09-01
2022-01-21,dau,Nordnet,30076,2026-09-01
2022-01-21,dau,Revolut,31794,2026-09-01
2022-01-21,dau,Trade Republic,841,2026-09-01
2022-01-22,dau,Avanza,281630,2026-09-01
2022-01-22,dau,IBKR,130,2026-09-01
2022-01-22,dau,Nordnet,18718,2026-09-01
2022-01-22,dau,Revolut,32412,2026-09-01
2022-01-22,dau,Trade Republic,1629,2026-09-01
2022-01-23,dau,Avanza,232884,2026-09-01
2022-01-23,dau,IBKR,109,2026-09-01
2022-01-23,dau,Nordnet,12408,2026-09-01
2022-01-23,dau,Revolut,30861,2026-09-01
2022-01-23,dau,Trade Republic,843,2026-09-01
2022-01-24,dau,Avanza,523652,2026-09-01
2022-01-24,dau,IBKR,146,2026-09-01
2022-01-24,dau,Nordnet,40815,2026-09-01
2022-01-24,dau,Revolut,29554,2026-09-01
2022-01-24,dau,Trade Republic,1634,2026-09-01
2022-01-25,dau,Avanza,511722,2026-09-01
2022-01-25,dau,IBKR,147,2026-09-01
2022-01-25,dau,Nordnet,35661,2026-09-01
2022-01-25,dau,Revolut,30397,2026-09-01
